Horizon_N,p_0.9,p_0.95,p_0.98,p_0.99
169,1.849200896210913e-06,0.017190531077428805,3.2900825292046685,18.295651830906085
170,1.6642808065898218e-06,0.016331004523557364,3.224280878620575,18.112695312597022
171,1.4978527259308397e-06,0.015514454297379496,3.1597952610481634,17.931568359471054
172,1.3480674533377557e-06,0.014738731582510519,3.0965993558272005,17.752252675876342
173,1.21326070800398e-06,0.014001795003384991,3.0346673687106565,17.574730149117578
174,1.0919346372035823e-06,0.013301705253215742,2.973974021336443,17.398982847626403
175,9.82741173483224e-07,0.012636619990554954,2.9144945409097143,17.22499301915014
176,8.844670561349016e-07,0.012004788991027205,2.8562046500915197,17.052743088958636
177,7.960203505214115e-07,0.011404549541475845,2.7990805570896895,16.88221565806905
178,7.164183154692703e-07,0.010834322064402054,2.743098945947896,16.713393501488362
179,6.447764839223434e-07,0.01029260596118195,2.6882369670289377,16.546259566473477
180,5.80298835530109e-07,0.009777975663122851,2.634472227688359,16.380796970808742
181,5.222689519770981e-07,0.00928907687996671,2.581782783134592,16.216989001100654
182,4.7004205677938835e-07,0.008824623035968373,2.5301471274718996,16.054819111089646
183,4.230378511014495e-07,0.008383391884169955,2.4795441849224615,15.894270919978752
184,3.807340659913046e-07,0.007964222289961456,2.429953301224012,15.735328210778961
185,3.426606593921741e-07,0.007566011175463383,2.3813542351995323,15.577974928671173
186,3.083945934529567e-07,0.007187710616690214,2.3337271504955415,15.42219517938446
187,2.7755513410766105e-07,0.0068283250858557016,2.2870526074856308,15.267973227590618
188,2.4979962069689495e-07,0.006486908831562916,2.2413115553359177,15.115293495314711
189,2.2481965862720545e-07,0.0061625633899847695,2.1964853242291995,14.964140560361564
190,2.0233769276448492e-07,0.005854435220485532,2.1525556177446155,14.814499154757947
191,1.8210392348803642e-07,0.005561713459461255,2.1095045053897232,14.666354163210368
192,1.6389353113923278e-07,0.005283627786488192,2.0673144152819285,14.519690621578263
193,1.475041780253095e-07,0.005019446397163782,2.02596812697629,14.37449371536248
194,1.3275376022277856e-07,0.0047684740773055925,1.9854487644367642,14.230748778208858
195,1.1947838420050072e-07,0.004530050373440313,1.945739789148029,14.088441290426768
196,1.0753054578045064e-07,0.004303547854768297,1.9068249933650683,13.9475568775225
197,9.677749120240558e-08,0.004088370462029882,1.868688493497767,13.808081308747274
198,8.709974208216502e-08,0.003883951938928388,1.8313147236278113,13.670000495659801
199,7.838976787394852e-08,0.0036897543419819683,1.7946884291552552,13.533300490703205
200,7.055079108655367e-08,0.0035052666248828698,1.75879466057215,13.397967485796173
