Horizon,Unverified_95,Unverified_98,Unverified_99,Verified_98_v70,Verified_98_v90
54,0.06267216326897833,0.3358985177497425,0.5811664141181095,0.7225447627290311,0.8975305284462133
55,0.05953855510552941,0.3291805473947476,0.5753547499769285,0.7182094941526569,0.8957354673893209
56,0.056561627350252934,0.32259693644685267,0.5696012024771592,0.713900237187741,0.8939439964545421
57,0.053733545982740286,0.3161449977179156,0.5639051904523875,0.7096168357646145,0.8921561084616331
58,0.051046868683603266,0.3098220977635573,0.5582661385478637,0.7053591347500269,0.8903717962447099
59,0.048494525249423104,0.30362565580828615,0.5526834771623851,0.7011269799415266,0.8885910526522204
60,0.046069798986951946,0.2975531426921204,0.5471566423907612,0.6969202180618775,0.886813870546916
61,0.043766309037604346,0.291602079838278,0.5416850759668536,0.6927386967535062,0.8850402428058222
62,0.04157799358572413,0.2857700382415124,0.536268225207185,0.6885822645729852,0.8832701623202105
63,0.03949909390643792,0.2800546374766822,0.5309055429551132,0.6844507709855473,0.8815036219955701
64,0.03752413921111602,0.2744535447271485,0.525596487525562,0.680344066359634,0.8797406147515789
65,0.03564793225056022,0.2689644738326056,0.5203405226503064,0.6762620019614762,0.8779811335220757
66,0.033865535638032206,0.26358518435595346,0.5151371174238033,0.6722044299497073,0.8762251712550316
67,0.03217225885613059,0.25831348066883436,0.5099857462495653,0.6681712033700091,0.8744727209125216
68,0.030563645913324063,0.2531472110554577,0.5048858887870696,0.664162176149789,0.8727237754706965
69,0.02903546361765786,0.2480842668343485,0.4998370298991989,0.6601772030928903,0.8709783279197552
70,0.027583690436774964,0.24312258149766153,0.49483865960020695,0.6562161398743329,0.8692363712639156
71,0.026204505914936217,0.2382601298677083,0.4898902730042049,0.652278843035087,0.8674978985213878
72,0.024894280619189402,0.23349492727035415,0.48499137027416284,0.6483651699768764,0.865762902724345
73,0.023649566588229934,0.22882502872494703,0.4801414565714212,0.6444749789570151,0.8640313769188963
74,0.022467088258818435,0.2242485281504481,0.47534004200570695,0.640608129083273,0.8623033141650585
75,0.02134373384587751,0.21976355758743912,0.4705866415856499,0.6367644803087734,0.8605787075367284
76,0.020276547153583634,0.21536828643569034,0.46588077516979337,0.6329438934269208,0.8588575501216549
77,0.01926271979590445,0.21106092070697655,0.46122196741809546,0.6291462300663593,0.8571398350214117
78,0.01829958380610923,0.206839702292837,0.4566097477439145,0.6253713526859611,0.8554255553513688
79,0.017384604615803767,0.20270290824698026,0.45204365026647536,0.6216191245698454,0.8537147042406661
80,0.01651537438501358,0.19864885008204064,0.4475232137638106,0.6178894098224262,0.8520072748321847
81,0.0156896056657629,0.19467587308039982,0.4430479816261725,0.6141820733634917,0.8503032602825203
82,0.014905125382474753,0.19078235561879184,0.43861750180991077,0.6104969809233107,0.8486026537619553
83,0.014159869113351015,0.186966708506416,0.43423132679181164,0.6068339990377709,0.8469054484544314
84,0.013451875657683464,0.18322737433628766,0.4298890135238935,0.6031929950435442,0.8452116375575225
85,0.012779281874799289,0.1795628268495619,0.4255901233886546,0.5995738370732829,0.8435212142824074
86,0.012140317781059324,0.17597157031257069,0.421334222154768,0.5959763940508432,0.8418341718538427
87,0.011533301892006357,0.17245213890631925,0.41712087993322033,0.5924005356865382,0.840150503510135
88,0.01095663679740604,0.16900309612819286,0.41294967113388814,0.588846132472419,0.8384702025031147
89,0.010408804957535737,0.16562303420562902,0.40882017442254925,0.5853130556775844,0.8367932620981084
90,0.00988836470965895,0.16231057352151643,0.4047319726783238,0.5818011773435189,0.8351196755739123
91,0.009393946474176,0.1590643620510861,0.40068465295154054,0.5783103702794579,0.8334494362227645
92,0.008924249150467202,0.15588307481006436,0.3966778064220251,0.5748405080577811,0.8317825373503189
93,0.00847803669294384,0.1527654133138631,0.39271102835780486,0.5713914650094344,0.8301189722756183
94,0.008054134858296648,0.1497101050475858,0.3887839180742268,0.5679631162193778,0.828458734331067
95,0.007651428115381815,0.14671590294663409,0.38489607889348454,0.5645553375220616,0.8268018168624048
96,0.007268856709612724,0.1437815848877014,0.38104711810454966,0.5611680054969291,0.82514821322868
97,0.006905413874132088,0.1409059531899474,0.37723664692350417,0.5578009974639475,0.8234979168022227
98,0.006560143180425483,0.13808783412614842,0.37346428045426916,0.5544541914791639,0.8218509209686182
99,0.006232136021404208,0.13532607744362546,0.36972963764972644,0.5511274663302889,0.820207219126681
100,0.0059205292203339975,0.13261955589475294,0.3660323412732292,0.5478207015323071,0.8185668046884277
